номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Электронный ЖД билет № 71963694560601, по маршруту Санкт-Петербург-Гл-Москва-Окт, СВ, пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 20.03.2026(Тариф облагаемый по ставке НДС 0%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,8162.7,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,5,Услуги от поставщика,"Электронный ЖД билет № 71963694574763, по маршруту Санкт-Петербург-Гл-Москва-Окт, Сидячий (Эконом), пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 20.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,6,Услуги от поставщика,"Электронный ЖД билет № 71963694574763, по маршруту Санкт-Петербург-Гл-Москва-Окт, Сидячий (Эконом), пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 20.03.2026(Тариф облагаемый по ставке НДС 0%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,5720.8,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,10,Услуги от поставщика,"Электронный ЖД билет № 72113698601163, по маршруту Санкт-Петербург-Гл-Москва-Окт, Сидячий (Эконом), пассажир ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ, дата отправления 25.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,6559.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,9,Услуги от поставщика,"Электронный ЖД билет № 72113698601163, по маршруту Санкт-Петербург-Гл-Москва-Окт, Сидячий (Эконом), пассажир ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ, дата отправления 25.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,8,Услуги от поставщика,"Электронный ЖД билет № 72063698592881, по маршруту Москва-Окт-Санкт-Петербург-Гл, Сидячий (Эконом), пассажир ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ, дата отправления 23.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4357.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,7,Услуги от поставщика,"Электронный ЖД билет № 72063698592881, по маршруту Москва-Окт-Санкт-Петербург-Гл, Сидячий (Эконом), пассажир ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ, дата отправления 23.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005450 от 26.03.2026 23:59:59",Отражение фактических данных МКУХ-003091 от 26.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005450,26.03.2026 23:59:59,Услуги,СИСТЕМА ООО (ИНН 7810914679),7810914679,781001001,Договор № 02/20-К от 25.09.2020 (Тема ООО),02/20-К,001073/ФУ,15.11.2023 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000151306,ДО,руб.,1,Услуги от поставщика,Услуги связи(подключение),Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,1000,21000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005620 от 26.03.2026 23:59:59",Отражение фактических данных МКУХ-003441 от 26.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005620,26.03.2026 23:59:59,Услуги,ФЛЕКС ООО,5031018470,503101001,Договор №208/INTБ-1 от 22.08.2011,208/INTБ-1,5088/МК,15.09.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148712,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Предоставление доступа к услугам связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,4414.43,24480,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005390 от 27.03.2026 0:00:01",Отражение фактических данных МКУХ-002816 от 27.03.2026 0:00:01,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005390,27.03.2026 0:00:01,Услуги,Т1 ЦИФРОВАЯ АКАДЕМИЯ АНО ДПО,1683014745,168301001,Заказ 27 от 06.02.2026,Заказ 27,MK26-02-6-VGO,02.02.2026 11:47:25,Департамент корпоративного обучения и развития талантов,CF02030800 Прочие HR платежи,Прочие HR,00ДО-0000227144,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Дополнительная профессиональная программа повышения квалификации «Системный аналитик. Начальный уровень» по Заказу №27 к договору об оказании платных образовательных услуг Т1DA24-10-17-VG от 21.10.2024,Мультикарта_Департамент корпоративного обучения и развития талантов_Бюджет МВЗ,Департамент корпоративного обучения и развития талантов,Без НДС,\N,17200,Да,\N,\N,26,Тренинги (22010300),\N
